puzzle_id,puzzle,solution,difficulty
297,008500007475000310300000080037260195000310700000005036560000003700050020089007004,918523467475698312326741589837264195652319748194875236561482973743956821289137654,0.164
303,038201004004700832000080751097020010006047080000610079072000090000475000000002147,738251964154769832629384751897523416216947385345618279472136598981475623563892147,0.008
309,040000382000700006030020000604900000073000408290000605060107050000356000005040700,749615382821739546536824917654983271173562498298471635462197853987356124315248769,0.011
315,960400003405080001120050408003620180000030200000000000001000006640000005070001002,968412753435789621127356498793625184514938267286147539851294376642873915379561842,0.241
323,970380045000000397430007816003000082600830070000719400049070000160000700207165034,976381245851624397432597816793456182614832579528719463349278651165943728287165934,0.075
333,060009700003050960070000040018020400000060000002084090320406080400000007980010000,165249738243758961879631245618927453594163872732584196321476589456892317987315624,0.148
337,600901000000020590030000020058710209102509400740060100003008940097243608086095072,625981734874326591931457826358714269162539487749862153213678945597243618486195372,0.24
345,000000370095040800374001000780000905030000120200008000040200003500010000060500001,812965374695743812374821659786132945439657128251498736147289563528316497963574281,0.02
348,509030402000901036000248000070000020000000370305020090000060851150070000800003007,519637482248951736763248519471395628692184375385726194937462851156879243824513967,0.119
351,082006700004000082007200409058309100000600803000804065020060300906040078740580296,582496731394751682167238459658329147479615823213874965825967314936142578741583296,0.018
352,400000900108000520090720648270900064800600002600007103000400280900000000006890015,427568931168349527395721648273915864819634752654287193531476289982153476746892315,0.025
353,709401008056908000000500000023105009000002000507604300875049630060850207090710845,739421568256938174418567923623175489941382756587694312875249631164853297392716845,0.013
355,030000004400000060600079200002064800000385942000920607820000079003000000006007300,238516794479238165615479283392764851167385942584921637821643579753892416946157328,0.071
357,907080302000700001010094570000030010000402603006058000008000000053000008009000100,967581342435726981812394576274639815581472693396158427648213759153947268729865134,0.128
362,604800059000090801891370000483900070016087000009210004000002903002060018965038420,634821759527694831891375246483956172216487395759213684178542963342769518965138427,0.074
363,000700005000050309085649107000070216000504700008023004054387600000410570700295041,962731485417852369385649127543978216291564738678123954154387692829416573736295841,0.073
366,008615370476020019031004000080000156052961708004078023610200800000050207905300000,298615374476823519531794682789432156352961748164578923617249835843156297925387461,0.236
367,030590401000021900000000200000830190900014007173209000060100049081043060090060013,236598471847321956519476238624837195958614327173259684365182749781943562492765813,0.203
374,900460072640708095100900003090040261000006750200150300804003006710690008309010027,953461872642738195187925643598347261431286759276159384824573916715692438369814527,0.02
375,800004200030001007051920006045000008000092000290085004780240600500000070009050000,876534291932861547451927836345176928618492753297385164783249615524618379169753482,0.196
378,270040308000000912800325600790200165654890723030600800561400009080012070900006000,276149358345768912819325647798234165654891723132657894561473289483912576927586431,0.007
379,200005160060070423034200000008000004900000600450703890300002080700658300580107246,297345168865971423134286975628519734973824651451763892316492587742658319589137246,0.085
384,050080902000004000000000405000270008743090020285001079100008204400900700090702103,354187962962354817871629435619275348743896521285431679137568294428913756596742183,0.21
386,674025310030000000050137900502009030000400520800352746480003100020804050705096480,674925318139648275258137964542769831367481529891352746486573192923814657715296483,0.094
389,000000000050100000060084701016542073900070084047090005002300540000200000509460000,194735268758126439263984751816542973925673184347891625682319547431257896579468312,0.018
391,007042098300709000008630752500400000001300060070000030053907804790054603000013070,617542398325789146948631752539476281481325967276198435153967824792854613864213579,0.157
392,654870003970000000082340570500402067006597010300180005068210050700900000200050081,654871293973625148182349576591432867826597314347186925468213759715968432239754681,0.249
393,729030041503000076604070325000951004450600000896007000040765009905002000070304508,729536841513248976684179325237951684451683792896427153348765219965812437172394568,0.173
394,500080000000000020000039500002000900005941630000020005080000003003094007720103000,541286379398517426267439518432675981875941632619328745984762153153894267726153894,0.18
395,000027009001060004034000800003780000800501000005906070200000060000209007000670082,586427319921863754734195826693782541872541693415936278247318965168259437359674182,0.179
